num_updates,Average PSNR,Uncert,Random
50,0.170414137,0.80585235,0.935535
100,0.629480417,1.33806709,
150,1.494901238,2.25651925,
200,0.768728213,1.6333966,
250,-0.798915285,2.50269166,
300,-0.054580331,2.10924397,
350,0.361728916,1.94179631,
400,2.356111767,2.67311265,
450,1.247723028,1.84972893,
500,2.787180443,3.26241925,
550,0.144478727,3.76284181,
600,2.267710569,3.41597373,
650,2.787180029,1.56857339,
700,1.377403155,2.68898093,
750,5.787179977,2.94777248,
800,3.068724412,2.70069594,
850,3.787179718,3.38310005,
900,5.304538905,4.13698544,
950,4.787180339,3.38146393,
1000,6.215118253,3.67670085,